Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),rain (mm),raining (s),SWDR (W/m²),PAR (µmol/m²/s),max. PAR (µmol/m²/s),Tlog (degC),CO2 (ppm),Rain_Rate (mm/h),Rain_Type_Cloudburst,Rain_Type_Heavy_Rain,Rain_Type_Moderate_Rain,Rain_Type_No_Rain,Rain_Type_Shower,Rain_Type_Very_Heavy_Rain,Rain_Type_Weak_Rain
2024-10-06 06:00:00,-0.14457354102908895,-0.5387333002469502,-0.5139282944611311,-0.1292870513414539,1.0460107695742005,-0.6284618573214211,-0.3000518885896727,-0.7187880912416204,-0.2987599267151166,-0.29759776628076545,0.41125376822184556,-0.7044403769265412,-0.7780689276136632,-0.3880442518274147,-0.2459253962122331,-0.36307115629732095,0.3882710029040577,0.35607152018705407,0.2846029704708732,-0.48749746865280347,0.5883144147261592,-0.21614691913309003,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-10-06 12:00:00,-0.45750205012458456,0.11326099140876768,0.1543221184028491,-0.06765302677093171,-0.5500331158732028,-0.11155323895957761,-0.24345599859684053,0.03818627942174783,-0.235874247323318,-0.23448027784303832,-0.24503712465273064,-0.15801233934837844,-0.13196499636678538,-0.8840796247206338,-0.1765873081731797,-0.36307115629732095,0.5050115581404554,0.5106362786949592,0.682703817833714,0.16214177016321488,-0.8642820352834794,-0.21614691913309003,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-10-06 18:00:00,-0.6515106419265574,-0.4159051606752467,-0.34486837350214655,-0.0020102851551725225,0.9591928395518271,-0.5468299743837522,-0.1811003498879244,-0.6948836374311982,-0.16935298959168107,-0.16753748707575256,0.14503152310210388,-0.8941899429532967,-0.9565100777241206,0.41611801722803143,-0.2459253962122331,-0.36307115629732095,-0.7267379050283311,-0.7278719837955436,-0.7220472291063198,-0.5346074081991042,-0.12162205706836776,-0.21614691913309003,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-10-07 00:00:00,-0.8992383326300543,-0.517846100656405,-0.4206622398535943,-0.03348782468084185,1.1890697781671637,-0.6217087697059175,-0.21039999205235516,-0.7863536479021286,-0.19273860161550604,-0.1912296821491513,0.16027382745965016,-0.7054968889868237,-0.7185885442435105,0.24953684542260302,-0.1765873081731797,0.05576591475122323,-0.7267253074099067,-0.7280102703648494,-0.7222538248967034,-0.779442543290459,0.5580451712871226,-0.050299171570020465,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-10-07 06:00:00,-0.8896456363976487,0.16134432288939096,0.24387142521038216,0.531194635464164,0.5202922056104278,-0.04486212499506968,0.40251346262665283,-0.42069191153265734,0.42226369106147316,0.42402700866317844,-0.4445019354976456,-0.2061892892972653,-0.14735502563039124,-0.0813435643279055,-0.2459253962122331,-0.36307115629732095,0.18013630070110834,0.1961111593960587,0.3927311148448475,-0.08607299102602664,0.1125146313708985,-0.21614691913309003,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-10-07 12:00:00,-0.8797577802811613,0.42827988216173263,0.5046690185040091,1.1130052502570018,1.0547349127862045,0.2020629491117145,1.152534217177675,-0.6895897287106253,1.1769901026371052,1.1775498691616713,-0.7041642015268064,-0.42150644718285984,-0.5075648997461398,-0.463391952562378,0.794145924373568,2.8616337728325276,-0.2777083939098403,-0.23208471117883714,-0.2198491654585537,0.21805922014643261,-0.43674942389857474,0.1069672247463855,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-10-07 18:00:00,-0.9056728181028705,0.27419223057482744,0.3561380503469024,1.0234013135753928,1.3007049311130061,0.04432761765735918,1.0254438889858069,-0.8247754184102044,1.0492535663725147,1.0503277174914927,-0.5779810743136907,-0.9751187667709443,-0.960530896180378,-0.21010168239806012,-0.2459253962122331,-0.16897592825043461,-0.7267379050283311,-0.7280102703648494,-0.7222538248967034,0.05856817843605795,0.6675053002639673,-0.21614691913309003,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-10-08 00:00:00,-1.1721726774334948,0.3114755254070973,0.4190101393002157,1.067314986661855,1.2918960874814678,0.0813821243144496,1.0862343858697008,-0.8199181207181323,1.1199999556882876,1.1207256200403164,-0.6902796270463952,-0.6757032488868544,-0.7327307332965538,0.16914256018879273,-0.1765873081731797,-0.18259664600811087,-0.7267379050283311,-0.7280102703648494,-0.7222538248967034,-0.036163765216829485,0.8530475816686665,0.1687450233245997,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-10-08 06:00:00,-1.2350712487297049,0.4873414687172498,0.5978308652292958,1.1090420868145514,0.8969041510265066,0.2850244555177211,1.1487152467246187,-0.5565870941535503,1.1852438480572787,1.1855706643688124,-0.8545220664996804,-0.509619553010429,-0.5250346626940168,-0.44514964668263207,-0.2459253962122331,-0.36307115629732095,0.3169779308359026,0.33191584869486224,0.31831108682581893,0.19624526987825439,1.1825732913239309,-0.21614691913309003,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-10-08 12:00:00,-1.3547585817218117,0.7532790048009645,0.8707513088238635,1.3087946350346105,0.6085331026809733,0.5860442107310792,1.442838577682942,-0.34335718310944224,1.4878811801303087,1.4872759610066268,-1.1207443116194222,-0.526735048387007,-0.6535622043819685,0.8321408899756134,1.2101744526078886,1.727709019505981,-0.25999929180977244,-0.21710285747731914,-0.24182818534348083,0.612144105742445,-0.5650255690672549,0.48154808405161464,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-10-08 18:00:00,-1.3637609581860533,0.3195666419720354,0.4461736606049002,1.0740569198742995,1.2834260455280655,0.08974475612846695,1.0956252968198386,-0.8150062466474977,1.1359178932843366,1.1371374010026185,-0.7537570717759257,-0.7171185216499323,-0.7604605157535015,0.7694228154908088,3.6370075339747583,3.3894365859424815,-0.7267379050283311,-0.7280102703648494,-0.7222538248967034,0.06532743063183152,-0.05715674941982162,0.8204767516603975,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-10-09 00:00:00,-1.4067362373072774,0.1028530352988032,0.23768842419729733,0.7990498198504691,1.2876610665047665,-0.12082561314666813,0.7228687381723606,-0.8186082876326298,0.7608637710366885,0.7618875821577945,-0.5676265975138403,-0.6002682877826765,-0.6639608728033239,0.043811731243506846,-0.2459253962122331,-0.36307115629732095,-0.7267379050283311,-0.7280102703648494,-0.7222538248967034,-0.1301446808479644,0.23162819474181504,-0.21614691913309003,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-10-09 06:00:00,-1.6262761590816732,0.3692895829768316,0.5212728077414044,0.7438388532728836,0.4409787327587686,0.15734561246604806,0.6507465420753007,-0.3219086663343375,0.694539031053151,0.6962404583085848,-0.8464757304909637,1.0383819177156421,0.9004148045053716,-0.04224350529770582,-0.1765873081731797,-0.36307115629732095,0.5835340884818998,0.554665590191189,0.6075088905881347,0.009102741912442074,-0.39584504087284633,-0.21614691913309003,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-10-09 12:00:00,-2.1426878922579338,0.9432242038078158,1.1373845435231107,0.5443140730667585,-1.1864890083357558,0.8210026736228261,0.40626982700670783,0.9265259932853126,0.4617637584294465,0.46351400045217656,-1.447328368698001,1.9814245827238948,2.068393241592002,-0.1069275535698877,-0.2459253962122331,-0.36307115629732095,0.5776635982961401,0.5920595724409027,0.5881694124467983,0.6328315139779945,-1.066513304962677,-0.21614691913309003,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-10-09 18:00:00,-2.6370216661054546,0.7083323176274539,0.9568617555173788,0.5733772716447283,-0.6945489716821523,0.5235868978104882,0.44001450035420403,0.43342841297215245,0.5103036422099917,0.5120706606677102,-1.406010504752699,0.7763669267655562,0.5874842094787184,0.03349914552847121,-0.2459253962122331,-0.36307115629732095,-0.7267379050283311,-0.7280102703648494,-0.7222538248967034,0.2871537981476738,-0.5157766919042789,-0.21614691913309003,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-10-10 00:00:00,-3.0026657304965902,0.7493938431023817,1.034878723356686,0.8468811027765949,-0.28392133778121037,0.5738676589684092,0.7919232366923753,0.20464423403770118,0.882901292606397,0.8841738598543487,-1.5629712244964933,2.1107416589024846,2.183610487700619,-0.10758580372191111,-0.1765873081731797,0.09662806802425196,-0.7267379050283311,-0.7280102703648494,-0.7222538248967034,0.19740594954823568,-0.5414646444444371,-0.06504119357562667,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-10-10 06:00:00,-2.4745656659110016,0.634514245354384,0.8679376960033036,0.7485764279627096,-0.20804670196263253,0.4466086970120007,0.6610765441204527,0.12054203467272274,0.7324669564363291,0.7339998942068144,-1.3097974780907145,2.3345109132703405,3.014533419023052,0.5339886777837165,-0.03791113209507288,-0.2609157731147492,0.41686444732278716,0.4126946138107662,0.5527913684571227,0.26967532782324943,-0.6602509727511492,1.8237803758926652,0.0,0.0,1.0,0.0,0.0,0.0,0.0
